,,,2021-09-20,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27,2021-12-04,2021-12-11,2021-12-18,2021-12-25,2022-01-01,2022-01-08,2022-01-15,2022-01-22,2022-01-29,2022-02-05,2022-02-12,2022-02-19,2022-02-26,2022-03-05,2022-03-12
10-14세,AZ,1차,11,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-14세,AZ,2차 ,3,0,1,2,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10-14세,AZ,3차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-14세,P,1차,20725,148,157,223,323,217855,195771,208038,305437,158156,174736,60342,109469,240464,233857,154363,51190,39168,28780,24347,15525,16055,14108,14065,5604,2978
10-14세,P,2차,19442,200,199,160,148,210,249,349,186544,168835,216418,275517,165304,182541,83043,107501,200350,199163,135228,69305,39933,36189,27954,20469,12370,9452
10-14세,P,3차,0,2,1,0,2,1,4,2,3,4,5,8,11,31,33,13,29,51,26,12,8,9,6,5,0,0
10-14세,JJ,1차,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-14세,JJ,3차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-14세,M,1차,36,12,4,2,0,15,8,2,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0
10-14세,M,2차,19,3,4,2,4,14,3,2,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0
10-14세,M,3차,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
15-19세,AZ,1차,727,70,42,26,7,35,23,9,10,8,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
15-19세,AZ,2차 ,454,15,32,16,9,16,8,27,35,43,38,31,12,15,6,1,1,0,0,0,0,2,0,0,0,0
15-19세,AZ,3차,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0
15-19세,P,1차,745448,18654,16098,2828,2762,2524,3765,3666,2699,2634,2966,2674,3633,5966,6821,3531,5057,3253,2059,1642,875,991,687,518,182,111
15-19세,P,2차,536453,14882,34399,65647,45299,36537,33567,8108,4480,4702,5379,4397,4734,5587,4516,4381,15660,20774,14353,7187,3567,3174,2186,1366,755,496
15-19세,P,3차,0,34,6,3,11,10,11,49,57,87,258,373,1473,79495,115077,72217,25637,30072,25710,33320,30146,49620,40457,43352,16364,13596
15-19세,JJ,1차,225,2,2,1,2,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0
15-19세,JJ,3차,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15-19세,M,1차,65503,23941,17904,2417,6019,670,1038,1078,827,404,10,5,2,5,1,0,0,1,0,0,0,0,0,0,0,0
15-19세,M,2차,7317,2170,3897,3106,14801,23520,37427,9641,7737,1171,6,5,9,9,5,4,2,0,0,0,0,2,1,0,0,0
15-19세,M,3차,0,2,0,0,0,1,2,6,13,7,28,33,76,818,1090,1815,167,300,516,1069,571,921,662,523,200,125
20-29세,AZ,1차,138561,145,81,75,25,28,22,15,14,28,9,4,3,2,0,0,1,2,0,0,0,0,0,0,0,0
20-29세,AZ,2차 ,134215,127,161,151,113,135,109,92,124,124,84,43,20,20,19,7,5,8,2,2,1,3,0,0,0,0
20-29세,AZ,3차,0,35,2,2,4,5,6,0,2,1,6,4,5,6,7,11,21,16,35,14,12,12,2,0,0,0
20-29세,P,1차,4618031,235523,240114,23275,32934,29600,40890,41773,28176,28962,25950,27749,45539,67573,63591,32771,20879,15287,9710,8242,4414,5304,3513,2320,1060,580
20-29세,P,2차,1938605,152330,386554,750693,573253,526712,414141,94793,50800,52412,58868,48393,53980,53259,39358,49785,65997,61943,33323,24024,14057,13300,9047,5556,3648,2295
20-29세,P,3차,0,160,56,51,1634,6159,4911,2288,7955,16635,32381,35155,81413,211031,270265,325663,330415,327010,280526,321701,149144,186617,162074,148875,76045,48963
20-29세,JJ,1차,3141,28,31,24,38,47,15,20,15,14,11,9,12,6,6,5,2,5,8,1,2,0,2,4,2,4
20-29세,JJ,3차,0,1,0,0,0,1,6,2,5,21,6,14,6,2,3,1,3,3,2,2,1,2,1,2,0,1
20-29세,M,1차,816927,265624,256397,36778,85390,11466,14379,14457,12206,5598,28,33,63,80,58,34,23,10,12,15,4,23,4,1,0,0
20-29세,M,2차,141432,17654,37674,34803,165555,290277,423122,112516,107485,15417,107,94,90,179,84,65,49,47,39,38,22,24,29,5,0,0
20-29세,M,3차,0,28,7,7,15,19,114,305,736,790,1879,4358,9553,26290,20554,23792,21877,41594,66582,122456,57677,71581,60591,52245,24924,17208
30-39세,AZ,1차,592690,389,522,654,395,347,249,129,56,42,36,25,5,3,1,2,0,2,0,0,0,0,0,0,0,0
30-39세,AZ,2차 ,143403,308,580,672,714,787,645,378,312,272,214,123,58,51,32,19,7,4,0,3,1,0,0,0,0,0
30-39세,AZ,3차,0,34,10,4,8,6,5,2,4,1,11,4,5,5,9,15,28,13,9,7,2,3,3,1,0,0
30-39세,P,1차,2687480,201872,216623,13171,23067,21993,27160,29358,21211,20005,16417,19731,33065,58691,54720,31055,26225,19205,11820,9902,5157,6311,4319,2863,1341,744
30-39세,P,2차,750133,104738,283000,527661,521805,479688,352567,80061,40437,29290,29249,24440,26158,25875,22259,32392,61076,56894,32459,26857,16929,15154,10283,5996,4590,2912
30-39세,P,3차,0,221,70,112,1710,5585,4436,10373,22788,34201,49582,47714,68133,218446,185152,199858,228368,269452,255507,280379,132458,160778,134341,118508,61283,40658
30-39세,JJ,1차,910527,3769,8016,4647,3616,3000,2980,1487,1190,919,626,566,843,908,419,256,267,187,172,130,46,80,46,40,12,9
30-39세,JJ,3차,0,13,2,5,2,4,12,168,1362,2047,1493,915,1097,1197,605,288,242,201,155,135,44,96,64,62,43,5
30-39세,M,1차,593717,231764,246074,29042,76601,10773,12017,12019,10769,8086,6565,6485,10265,11597,5199,2495,2789,1495,811,717,443,555,299,212,111,62
30-39세,M,2차,56991,14482,34785,35400,149351,259008,365197,99608,93934,23952,15493,13802,15216,16061,10617,8793,11940,11158,5854,3477,2488,2215,1124,891,365,318
30-39세,M,3차,0,62,6,15,46,22,155,14365,192869,110098,96057,59417,56469,110898,57177,39369,29221,43886,66250,110935,54809,66534,54564,45504,23176,16358
40-49세,AZ,1차,1014709,381,478,658,366,319,213,128,36,33,15,12,4,1,1,2,0,0,1,0,0,0,0,0,0,0
40-49세,AZ,2차 ,165532,527,1151,1322,1332,1178,789,389,335,296,214,131,35,52,26,12,2,3,3,1,0,1,0,0,0,0
40-49세,AZ,3차,0,25,12,5,10,8,7,0,4,5,6,6,9,10,14,34,36,15,11,5,2,4,3,0,1,0
40-49세,P,1차,3898027,253732,254323,11107,17280,15771,18576,18433,13789,12077,9772,12288,20339,42009,38313,21341,17453,12722,7427,5675,2811,3499,2236,1396,610,292
40-49세,P,2차,1084344,174185,480551,772963,796108,657351,433483,75986,32922,21410,19936,17022,16990,17433,15118,21022,43666,40329,22342,17964,11460,9466,5945,3392,2646,1666
40-49세,P,3차,0,280,65,85,1582,4409,3886,14059,24699,36075,63741,57264,94995,421494,347533,378634,393363,473702,422734,402661,193146,240825,190480,154747,75482,49708
40-49세,JJ,1차,300291,3442,6442,3534,2692,2333,2213,1209,904,636,462,354,482,527,275,147,133,132,90,70,18,43,17,18,5,5
40-49세,JJ,3차,0,10,2,2,1,3,3,95,929,1480,1075,808,733,726,301,169,179,157,162,163,41,91,83,65,27,11
40-49세,M,1차,913232,314081,301334,24166,67071,8069,8532,8006,7353,5342,4392,4070,6272,7562,3495,1494,1838,1018,509,419,240,320,185,133,59,37
40-49세,M,2차,75544,25361,58383,61804,266989,383839,496245,103757,86295,19140,12171,10264,11076,12554,8316,6628,9408,9020,4637,2676,1822,1505,813,575,238,189
40-49세,M,3차,0,46,12,7,28,23,251,8310,66038,37812,38019,22929,22992,51286,35072,37896,37143,81838,121425,179725,91594,108916,84592,66937,32748,22529
50-59세,AZ,1차,1022727,292,498,742,478,512,318,308,38,30,11,16,1,1,1,2,1,1,0,0,0,0,0,0,0,0
50-59세,AZ,2차 ,680452,1465,8924,26290,14542,12045,7607,2815,1049,781,575,667,141,133,162,123,5,2,1,2,0,0,0,0,0,0
50-59세,AZ,3차,0,27,7,15,12,6,7,4,6,3,6,10,9,11,8,34,35,8,16,3,0,1,2,0,0,0
50-59세,P,1차,4966638,4289,9302,7787,12612,10822,11227,10899,8648,7549,6175,7225,11021,26718,26085,15104,11837,9666,5572,4086,2017,2639,1788,1086,465,222
50-59세,P,2차,2186483,399905,1371747,895782,40175,28168,17167,13787,14599,12124,11549,10396,10082,10829,9726,12097,27983,27481,15686,12458,8510,6907,4369,2498,2218,1467
50-59세,P,3차,0,323,64,111,1290,3253,3650,19778,36988,55681,89041,68600,119848,674340,661743,812042,722544,555218,339326,262946,122614,169653,135328,113099,60338,39776
50-59세,JJ,1차,112754,2646,4665,2291,1949,1544,1397,637,553,359,297,227,220,240,118,59,69,81,55,47,12,23,10,4,6,2
50-59세,JJ,3차,0,5,3,3,3,1,3,70,656,1021,776,620,497,428,253,142,136,136,142,112,42,75,61,45,16,17
50-59세,M,1차,1849755,9639,33648,21772,77602,5936,5706,5161,5172,3426,3103,2635,3368,4176,2007,865,973,667,320,277,141,173,115,98,42,18
50-59세,M,2차,673075,129994,955987,44563,16262,12646,32206,22633,74507,12349,7490,5963,6241,6286,4763,4040,4888,4945,2571,1495,960,873,497,354,167,138
50-59세,M,3차,0,59,8,16,28,38,294,4206,26427,17030,20698,18313,34129,304645,239654,392292,261479,189347,124922,115490,58831,89533,71001,57503,29289,18513
60-64세,AZ,1차,6190092,85,213,300,219,217,117,121,25,8,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60-64세,AZ,2차 ,5637075,1702,27005,92815,52749,31687,13245,2369,1204,839,680,521,180,170,112,69,2,0,0,0,0,0,0,0,0,0
60-64세,AZ,3차,0,13,1,1,2,1,3,2,1,2,1,2,5,8,9,17,8,5,9,2,1,1,1,0,0,0
60-64세,P,1차,361642,1277,2880,2372,3998,3616,4038,4064,3413,3231,2719,3237,4613,11057,10609,6391,5030,3913,2144,1610,781,1079,696,420,197,116
60-64세,P,2차,293719,7509,10183,12223,5888,6213,4060,3792,4278,3990,4149,4030,4357,4587,4390,5162,11539,11183,6772,5180,3474,2763,1746,1054,899,613
60-64세,P,3차,0,128,41,42,227,532,1169,28478,28197,31021,61620,65212,177949,308541,254639,142373,105019,72436,44719,34799,15513,25400,21684,20827,10386,6282
60-64세,JJ,1차,76029,560,754,356,345,252,261,154,113,103,94,53,50,69,32,9,17,22,10,10,3,6,6,0,3,0
60-64세,JJ,3차,0,1,1,0,0,0,3,46,359,421,326,204,152,178,58,26,33,52,31,33,9,18,17,21,3,3
60-64세,M,1차,72810,2280,9183,6192,22656,1731,1799,1634,1643,1204,1070,825,1145,1344,631,306,344,246,98,79,40,51,23,37,11,7
60-64세,M,2차,47188,1182,6241,2163,3309,2696,8678,6235,21113,3388,2187,1695,1807,1674,1219,1119,1488,1471,797,448,319,300,170,104,55,49
60-64세,M,3차,0,34,9,8,7,13,174,1672,12103,9768,14874,29690,252388,677941,535832,364715,146655,85547,50783,39115,17079,27454,22867,20346,9527,4363
65-69세,AZ,1차,0,57,135,196,180,118,98,76,20,9,9,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0
65-69세,AZ,2차 ,0,898,12974,45843,26003,16303,6826,1379,886,651,506,408,123,104,55,43,0,0,0,0,0,0,0,0,0,0
65-69세,AZ,3차,0,8,2,1,1,2,2,0,0,0,1,2,3,11,6,10,5,1,0,0,0,0,1,0,0,0
65-69세,P,1차,0,766,1667,1362,2200,2162,2358,2571,2188,1987,1865,2138,3139,6628,6064,3635,3116,2457,1347,938,460,684,448,312,143,108
65-69세,P,2차,0,3905,5784,6427,3128,3411,2391,2129,2414,2431,2664,2688,2751,3162,2822,3482,7219,6873,4245,3224,2106,1794,1074,646,651,396
65-69세,P,3차,0,86,73,72,130,304,563,27131,20838,20225,44128,49653,158600,247715,152362,73957,37124,24991,16341,12711,5548,10388,8627,8163,4316,2677
65-69세,JJ,1차,0,201,312,153,165,88,97,51,48,45,50,32,34,28,14,9,11,13,7,11,4,4,0,0,1,0
65-69세,JJ,3차,0,2,0,1,0,3,2,15,203,261,182,97,72,69,21,14,20,18,14,13,1,8,5,6,4,0
65-69세,M,1차,0,1030,4406,2960,11207,930,944,844,877,614,511,490,606,659,326,139,156,105,52,39,20,31,12,11,3,8
65-69세,M,2차,0,601,3657,938,1523,1226,4177,2978,10403,1611,1130,903,975,808,607,564,790,762,422,273,136,135,84,60,22,35
65-69세,M,3차,0,38,3,17,15,33,148,877,5191,5456,11344,31304,310026,740803,333140,177267,84926,47205,27803,20483,8697,14827,11681,9565,4653,2175
70-74세,AZ,1차,1923581,31,97,136,107,89,64,37,23,13,5,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
70-74세,AZ,2차 ,1808636,552,7907,25926,14226,9044,4031,891,517,424,384,288,74,74,41,15,0,0,0,0,0,0,0,0,0,0
70-74세,AZ,3차,0,7,0,0,0,2,0,0,0,0,1,0,0,7,0,4,0,0,0,1,0,0,0,0,0,0
70-74세,P,1차,1536611,553,1191,1021,1595,1417,1691,1776,1559,1456,1429,1714,2196,4105,3690,2313,1771,1439,806,528,294,448,318,222,95,69
70-74세,P,2차,1500325,2483,3842,4093,1901,2144,1738,1598,1619,1717,1905,1866,2080,2250,2274,2386,4257,3940,2469,1805,1189,1112,672,426,445,302
70-74세,P,3차,0,55,49,34,72,180,319,25317,16543,14279,26417,32805,119709,161369,87230,41121,20028,14009,9285,6817,2919,5898,4577,4251,2579,1709
70-74세,JJ,1차,10483,77,107,40,60,47,42,25,19,19,17,15,9,18,3,1,3,4,2,3,1,1,0,0,0,0
70-74세,JJ,3차,0,0,1,0,0,0,0,9,114,126,84,51,32,26,14,4,6,3,5,3,2,4,1,3,2,0
70-74세,M,1차,15405,538,2356,1560,6273,529,421,385,423,297,249,257,285,276,150,65,55,42,22,13,10,10,10,5,2,2
70-74세,M,2차,9930,353,2368,488,768,613,2341,1557,5764,905,547,403,469,373,313,300,344,296,194,124,63,61,30,26,9,11
70-74세,M,3차,0,48,2,4,3,18,66,639,2800,3716,9194,28335,298426,564005,200026,99205,43792,24196,14619,10089,4483,7937,5940,4555,2332,1260
75-79세,AZ,1차,0,20,79,106,123,73,71,41,28,14,8,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75-79세,AZ,2차 ,0,62,410,1331,999,758,604,225,233,140,116,137,17,17,14,0,0,0,0,0,0,0,0,0,0,0
75-79세,AZ,3차,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
75-79세,P,1차,0,608,1027,734,913,1034,1203,1125,1058,1102,1222,1241,1867,2927,2697,1553,1169,1013,673,506,218,370,244,191,109,71
75-79세,P,2차,0,1368,3699,4234,2158,2217,1944,1099,1215,1290,1330,1272,1523,1558,1528,1854,2838,2801,1752,1298,810,861,548,340,346,222
75-79세,P,3차,0,21,36,27,33,212,15559,51838,89052,156045,198972,264804,298887,192409,82234,39829,16221,11327,7307,5198,2028,3653,2914,2434,1573,1367
75-79세,JJ,1차,0,37,62,15,36,20,12,9,8,14,16,9,9,6,4,4,0,3,0,1,0,0,1,0,0,0
75-79세,JJ,3차,0,0,0,1,0,0,0,1,10,16,5,5,2,4,4,2,2,3,1,1,0,0,2,1,1,0
75-79세,M,1차,0,129,730,540,2826,240,244,187,198,162,170,117,124,108,53,37,27,17,8,12,5,7,2,5,5,0
75-79세,M,2차,0,22,79,57,104,123,678,538,2548,364,276,212,198,179,174,125,154,132,72,55,24,26,20,12,12,6
75-79세,M,3차,0,20,4,3,4,10,33,39,117,153,1059,1458,1875,1741,841,670,7589,4525,2802,2080,892,2030,1519,1061,579,384
80세 이상,AZ,1차,212355,69,470,557,458,335,254,192,124,36,69,69,12,1,0,0,0,0,0,0,0,0,0,0,0,0
80세 이상,AZ,2차 ,176234,277,2195,5977,4573,3568,2795,1158,1110,698,607,558,48,71,36,10,0,0,0,0,0,0,0,0,0,0
80세 이상,AZ,3차,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80세 이상,P,1차,1655979,980,1688,1264,1680,1765,2025,2211,2223,2608,3394,3069,4728,6747,6320,3687,2715,2632,1878,1508,568,1092,830,565,290,246
80세 이상,P,2차,1617878,2238,5446,6842,3492,3741,3181,1941,2022,2279,2763,2756,3277,3862,3604,4414,6667,6695,4656,3315,1831,2184,1544,984,898,775
80세 이상,P,3차,0,26,17,19,18,296,24402,67546,132147,223148,274631,283949,289669,190702,85662,45592,26309,21105,15686,12386,3590,7361,5879,5126,3349,3031
80세 이상,JJ,1차,2159,76,218,43,85,48,29,14,14,51,81,29,20,19,23,13,2,6,5,5,0,5,5,1,0,0
80세 이상,JJ,3차,0,1,0,0,0,0,0,0,5,10,21,9,4,1,2,0,0,1,0,1,0,1,1,3,1,0
80세 이상,M,1차,770,196,1072,829,4895,400,369,296,335,371,400,223,191,173,71,88,44,34,22,17,7,17,6,13,5,1
80세 이상,M,2차,169,48,115,72,127,187,1026,770,4414,634,404,312,367,333,396,264,239,204,96,119,37,49,35,20,12,12
80세 이상,M,3차,0,23,1,1,0,6,19,31,123,277,2906,2385,2612,2346,1315,1052,629,779,770,863,446,1713,1184,865,468,361
